room,building,roomType,ficm,taxonomy,taxonomyLabel,asf,seats,asfPerSeat,courseCount,seatOccupancy,weeklyHours,hoursPercent,utilization,comment
MH309,Main Hall,Teaching Laboratory,FICM 210,C,C · 19–36 seats,953,20,47.7,7,79,19.8,53,53,
MH311,Main Hall,Teaching Laboratory,FICM 210,B,B · 13–18 seats,1236,16,77.3,5,88,14.2,38,38,
MH313,Main Hall,Teaching Laboratory,FICM 210,C,C · 19–36 seats,513,24,21.4,8,64,20.6,55,55,
MH314,Main Hall,Teaching Laboratory,FICM 210,C,C · 19–36 seats,755,20,37.8,8,74,20.5,55,55,
MH315,Main Hall,Teaching Laboratory,FICM 210,B,B · 13–18 seats,776,18,43.1,6,83,26.2,70,70,
MH317,Main Hall,Teaching Laboratory,FICM 210,C,C · 19–36 seats,742,24,30.9,7,78,19,51,51,
MH318,Main Hall,Teaching Laboratory,FICM 210,B,B · 13–18 seats,475,16,29.7,3,98,17,46,46,
MH319,Main Hall,Teaching Laboratory,FICM 210,C,C · 19–36 seats,772,24,32.2,5,63,14.2,38,38,
MH321,Main Hall,Teaching Laboratory,FICM 210,C,C · 19–36 seats,1045,24,43.5,7,79,19.8,53,53,
MH322,Main Hall,Teaching Laboratory,FICM 210,A,A · 5–12 seats,596,8,74.5,3,46,17,46,46,
MH323,Main Hall,Teaching Laboratory,FICM 210,C,C · 19–36 seats,840,20,42,1,90,5.7,15,15,
MH376,Main Hall,Teaching Laboratory,FICM 210,C,C · 19–36 seats,885,24,36.9,2,60,4,11,11,
MH378,Main Hall,Teaching Laboratory,FICM 210,D,D · 37–74 seats,970,40,24.3,4,39,6.7,18,18,
VIC101,Victory Hall,Teaching Laboratory,FICM 210,C,C · 19–36 seats,1045,23,45.4,4,79,11.3,30,30,
VIC110,Victory Hall,Teaching Laboratory,FICM 210,C,C · 19–36 seats,775,32,24.2,10,61,28.3,76,76,
VIC114,Victory Hall,Teaching Laboratory,FICM 210,D,D · 37–74 seats,0,40,0,10,45,28.2,76,76,
VIC115,Victory Hall,Teaching Laboratory,FICM 210,B,B · 13–18 seats,1040,16,65,2,53,5.7,15,15,
VIC120,Victory Hall,Teaching Laboratory,FICM 210,C,C · 19–36 seats,766,30,25.5,3,28,9,24,24,
VIC123,Victory Hall,Teaching Laboratory,FICM 210,B,B · 13–18 seats,766,16,47.9,,,,,,Spring only.
VIC200,Victory Hall,Teaching Laboratory,FICM 210,B,B · 13–18 seats,441,16,27.6,7,63,19.8,53,53,
VIC203,Victory Hall,Teaching Laboratory,FICM 210,B,B · 13–18 seats,556,18,30.9,8,78,24.7,66,66,
VIC204,Victory Hall,Teaching Laboratory,FICM 210,B,B · 13–18 seats,549,18,30.5,8,62,24.2,65,65,
VIC207,Victory Hall,Teaching Laboratory,FICM 210,B,B · 13–18 seats,358,15,23.9,4,65,11.3,30,30,
VIC208,Victory Hall,Teaching Laboratory,FICM 210,B,B · 13–18 seats,803,16,50.2,10,76,44.2,118,118,
VIC210,Victory Hall,Teaching Laboratory,FICM 210,A,A · 5–12 seats,766,12,63.8,5,112,22.1,59,59,
VIC212,Victory Hall,Teaching Laboratory,FICM 210,C,C · 19–36 seats,786,32,24.6,10,88,29.5,79,79,
VIC214,Victory Hall,Teaching Laboratory,FICM 210,C,C · 19–36 seats,756,32,23.6,12,85,33.3,89,89,
VIC215,Victory Hall,Teaching Laboratory,FICM 210,C,C · 19–36 seats,855,30,28.5,6,62,16.8,45,45,
MH277C,Main Hall,Open Laboratory,FICM 220,A,A · 5–12 seats,189,6,31.5,,,,,,Open laboratory
MH372,Main Hall,Open Laboratory,FICM 220,B,B · 13–18 seats,529,16,33.1,,,,,,Open laboratory
MH374,Main Hall,Open Laboratory,FICM 220,D,D · 37–74 seats,1368,40,34.2,,,,,,Open laboratory
VIC205B,Victory Hall,Open Laboratory,FICM 220,A,A · 5–12 seats,745,10,74.5,,,,,,Open laboratory
