room,floor,roomType,ficm,specialty,asf,seats,asfPerSeat,courseCount,seatOccupancy,weeklyHours,hoursPercent,comment,departments
MH315,3,Teaching Laboratory,FICM 210,Clinical Lab Science / Biology,776,18,43.1,6,83,26.2,70,,School of Health & Natural Sciences
MH317,3,Teaching Laboratory,FICM 210,Microbiology Lab,742,24,30.9,7,78,19.0,51,,School of Health & Natural Sciences
MH318,3,Teaching Laboratory,FICM 210,Physics Lab,475,16,29.7,3,98,17.0,46,,School of Health & Natural Sciences
MH319,3,Teaching Laboratory,FICM 210,A&P / Vet Anatomy Lab,772,24,32.2,5,63,14.2,38,,School of Health & Natural Sciences
MH321,3,Teaching Laboratory,FICM 210,General Biology Lab,1045,24,43.5,7,79,19.8,53,,School of Health & Natural Sciences
MH322,3,Teaching Laboratory,FICM 210,Biology Research Lab,596,8,74.5,3,46,17.0,46,,School of Health & Natural Sciences
MH323,3,Teaching Laboratory,FICM 210,Cell Biology Lab,840,20,42.0,1,90,5.7,15,,School of Health & Natural Sciences
MH376,3,Teaching Laboratory,FICM 210,Shared Skills Lab,885,24,36.9,2,60,4.0,11,,School of Nursing
MH378,3,Teaching Laboratory,FICM 210,Shared Skills Lab,970,40,24.3,4,39,6.7,18,,School of Nursing; School of Health & Natural Sciences
MH277C,2,Open Laboratory,FICM 220,Nursing SIM Lab,189,6,31.5,,,,,Open laboratory,
MH372,3,Open Laboratory,FICM 220,Health SIM / OT–PT Lab,529,16,33.1,,,,,Open laboratory,
MH374,3,Open Laboratory,FICM 220,Movement Lab / OT–PT,1368,40,34.2,,,,,Open laboratory,
